Date : 2025-07-31 13:24:17
Directory : /Users/jasonkline/Projects/side-projects/codebase-intelligence
Total : 119 files,  61586 codes, 2227 comments, 8500 blanks, all 72313 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |         77 |     40,738 |      2,107 |      6,483 |     49,328 |
| JSON               |         13 |     10,634 |          0 |          2 |     10,636 |
| Markdown           |         20 |      8,890 |          0 |      1,775 |     10,665 |
| JavaScript         |          2 |        617 |         20 |         89 |        726 |
| Shell Script       |          1 |        307 |         22 |         64 |        393 |
| TypeScript JSX     |          2 |        130 |         22 |         27 |        179 |
| YAML               |          1 |        112 |         14 |         20 |        146 |
| Ignore             |          1 |         63 |         23 |         22 |        108 |
| Docker             |          1 |         48 |         19 |         18 |         85 |
| JSON with Comments |          1 |         47 |          0 |          0 |         47 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |        119 |     61,586 |      2,227 |      8,500 |     72,313 |
| . (Files)                                                                                                                 |         18 |     13,405 |         90 |        655 |     14,150 |
| docs                                                                                                                      |         12 |      6,166 |          0 |      1,152 |      7,318 |
| docs (Files)                                                                                                              |         10 |      4,671 |          0 |        957 |      5,628 |
| docs/deployment                                                                                                           |          1 |        868 |          0 |        114 |        982 |
| docs/mcp-tools                                                                                                            |          1 |        627 |          0 |         81 |        708 |
| examples                                                                                                                  |          9 |        613 |          0 |         53 |        666 |
| setup-scripts                                                                                                             |          2 |        684 |         22 |        167 |        873 |
| src                                                                                                                       |         60 |     38,369 |      1,833 |      5,931 |     46,133 |
| src (Files)                                                                                                               |          1 |         33 |          3 |          8 |         44 |
| src/config                                                                                                                |          1 |        454 |         17 |         65 |        536 |
| src/database                                                                                                              |          1 |        454 |         12 |         59 |        525 |
| src/evaluation                                                                                                            |          1 |      1,219 |         62 |        190 |      1,471 |
| src/governance                                                                                                            |          1 |      1,019 |         70 |        153 |      1,242 |
| src/intelligence                                                                                                          |          8 |      9,184 |        543 |      1,443 |     11,170 |
| src/knowledge                                                                                                             |         10 |      5,250 |        220 |        846 |      6,316 |
| src/knowledge (Files)                                                                                                     |          6 |      4,467 |        190 |        776 |      5,433 |
| src/knowledge/templates                                                                                                   |          4 |        783 |         30 |         70 |        883 |
| src/mcp                                                                                                                   |          9 |      7,658 |        231 |      1,051 |      8,940 |
| src/mcp (Files)                                                                                                           |          3 |      3,725 |        129 |        558 |      4,412 |
| src/mcp/tools                                                                                                             |          6 |      3,933 |        102 |        493 |      4,528 |
| src/monitoring                                                                                                            |          1 |        442 |          8 |         70 |        520 |
| src/parser                                                                                                                |          2 |        877 |         29 |        131 |      1,037 |
| src/patterns                                                                                                              |          9 |      4,847 |        239 |        798 |      5,884 |
| src/patterns (Files)                                                                                                      |          4 |      1,857 |        119 |        361 |      2,337 |
| src/patterns/categories                                                                                                   |          5 |      2,990 |        120 |        437 |      3,547 |
| src/production                                                                                                            |          3 |        825 |         58 |        145 |      1,028 |
| src/realtime                                                                                                              |          4 |      1,832 |        128 |        356 |      2,316 |
| src/scanner                                                                                                               |          1 |        497 |         32 |         82 |        611 |
| src/security                                                                                                              |          5 |      2,725 |        149 |        373 |      3,247 |
| src/telemetry                                                                                                             |          1 |        399 |         15 |         73 |        487 |
| src/ui                                                                                                                    |          1 |        618 |         16 |         84 |        718 |
| src/utils                                                                                                                 |          1 |         36 |          1 |          4 |         41 |
| test-project                                                                                                              |          6 |        306 |         93 |         58 |        457 |
| test-project (Files)                                                                                                      |          1 |         21 |          0 |          0 |         21 |
| test-project/src                                                                                                          |          5 |        285 |         93 |         58 |        436 |
| test-project/src/api                                                                                                      |          2 |         85 |         35 |         27 |        147 |
| test-project/src/api/insecure                                                                                             |          1 |         32 |         17 |         11 |         60 |
| test-project/src/api/users                                                                                                |          1 |         53 |         18 |         16 |         87 |
| test-project/src/components                                                                                               |          1 |         70 |         12 |         12 |         94 |
| test-project/src/lib                                                                                                      |          2 |        130 |         46 |         19 |        195 |
| tests                                                                                                                     |         12 |      2,043 |        189 |        484 |      2,716 |
| tests (Files)                                                                                                             |          1 |         37 |          5 |          9 |         51 |
| tests/integration                                                                                                         |          2 |        960 |         69 |        201 |      1,230 |
| tests/security                                                                                                            |          9 |      1,046 |        115 |        274 |      1,435 |
| tests/security (Files)                                                                                                    |          4 |        790 |         57 |        212 |      1,059 |
| tests/security/vulnerable-examples                                                                                        |          5 |        256 |         58 |         62 |        376 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                  | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/.dockerignore                                              | Ignore             |         63 |         23 |         22 |        108 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/.mcp.json                                                  | JSON               |         27 |          0 |          0 |         27 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/CODEBASE_INDEXING_PLAN.md                                  | Markdown           |      1,012 |          0 |        191 |      1,203 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/COMPILATION_FIX_PLAN.md                                    | Markdown           |        128 |          0 |         36 |        164 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/Dockerfile                                                 | Docker             |         48 |         19 |         18 |         85 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/PHASE1_SUMMARY.md                                          | Markdown           |        116 |          0 |         30 |        146 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/PHASE5_SUMMARY.md                                          | Markdown           |        232 |          0 |         47 |        279 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/PRODUCTION_README.md                                       | Markdown           |        480 |          0 |        109 |        589 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/README.md                                                  | Markdown           |        201 |          0 |         54 |        255 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/docker-compose.yml                                         | YAML               |        112 |         14 |         20 |        146 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/docs/README.md                                             | Markdown           |        131 |          0 |         30 |        161 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/docs/architecture.md                                       | Markdown           |        390 |          0 |         87 |        477 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/docs/configuration.md                                      | Markdown           |        501 |          0 |         70 |        571 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/docs/deployment/production.md                              | Markdown           |        868 |          0 |        114 |        982 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/docs/installation.md                                       | Markdown           |        365 |          0 |        107 |        472 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/docs/knowledge-system.md                                   | Markdown           |        583 |          0 |        111 |        694 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/docs/mcp-tools/README.md                                   | Markdown           |        627 |          0 |         81 |        708 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/docs/pattern-recognition.md                                | Markdown           |        649 |          0 |        107 |        756 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/docs/performance.md                                        | Markdown           |        651 |          0 |        135 |        786 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/docs/quickstart.md                                         | Markdown           |        250 |          0 |         69 |        319 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/docs/security-analysis.md                                  | Markdown           |        545 |          0 |         90 |        635 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/docs/troubleshooting.md                                    | Markdown           |        606 |          0 |        151 |        757 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/examples/.codeintelligence-basic.json                      | JSON               |         84 |          0 |          0 |         84 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/examples/.codeintelligence-development.json                | JSON               |         89 |          0 |          0 |         89 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/examples/.codeintelligence-strict.json                     | JSON               |        125 |          0 |          0 |        125 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/examples/README.md                                         | Markdown           |        178 |          0 |         53 |        231 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/examples/mcp-config-basic.json                             | JSON               |         15 |          0 |          0 |         15 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/examples/mcp-config-development.json                       | JSON               |         17 |          0 |          0 |         17 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/examples/mcp-config-narwol-psa.json                        | JSON               |         69 |          0 |          0 |         69 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/examples/mcp-config-production.json                        | JSON               |         19 |          0 |          0 |         19 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/examples/mcp-config-team.json                              | JSON               |         17 |          0 |          0 |         17 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/jest.config.js                                             | JavaScript         |         15 |          0 |          0 |         15 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/nodemon.json                                               | JSON               |         10 |          0 |          0 |         10 |
